book_id;author_id
47161;0
47162;1
47165;2
47166;3
47168;4
47169;5
47176;6
47177;7
47178;8
47179;9
47180;10
47181;10
47182;11
47183;10
47185;12
47186;13
47187;14
47192;15
47194;16
47195;17
47197;18
47198;19
47200;20
47201;21
47204;22
47206;23
47208;10
47209;24
47211;25
47212;26
47213;27
47214;28
47215;29
47216;30
47217;31
47218;32
47219;10
47220;33
47221;34
47222;34
47223;10
47224;35
47225;36
47226;37
47227;10
47230;10
47231;38
47232;39
47233;40
47234;41
47235;10
47236;42
47237;43
47238;10
47243;10
47245;44
47261;10
47264;45
47269;46
47274;47
47279;48
47280;10
47281;10
47282;49
47283;50
47284;51
47296;10
47307;52
47315;53
47332;54
47336;55
47339;56
47340;57
47342;58
47347;59
47354;60
47368;61
47372;62
47394;63
47434;64
47460;65
47471;66
47488;10
47491;9
47498;10
47506;67
47518;68
47519;69
47526;10
47562;70
47571;71
47580;10
47602;10
47603;10
47610;72
47613;73
47617;74
47639;75
47655;76
47657;77
47674;78
47692;10
47707;15
47708;79
47730;80
47737;51
47746;81
47750;82
47753;83
47762;84
47774;85
47776;86
47778;87
47795;88
47822;89
47824;90
47832;91
47854;92
47856;10
47880;93
47887;94
47893;10
47899;95
47900;95
47902;96
47904;10
47912;97
47916;10
47922;10
47925;98
47929;10
47934;99
47962;100
47992;101
48001;102
48002;103
48010;104
48020;105
48021;105
48022;105
48032;10
48034;106
48038;107
48063;108
48080;109
48084;110
48087;111
48108;112
48124;113
48142;114
48146;115
48161;116
48162;116
48163;116
48185;51
48196;117
48208;118
48240;119
48245;120
48247;10
48251;121
48254;122
48258;123
48260;124
48271;125
48276;126
48284;127
48286;128
48291;129
48304;130
48306;131
48334;132
48337;133
48344;134
48363;76
48371;135
48385;136
48389;76
48399;137
48402;9
48410;138
48418;139
48420;50
48427;140
48429;141
48431;141
48453;142
48455;143
48466;10
48469;144
48473;145
48474;146
48517;147
48523;10
48537;148
48540;10
48571;134
48586;149
48602;150
48606;10
48616;151
48619;152
48620;153
48621;154
48622;116
48626;155
48642;156
48644;157
48648;158
48653;159
48668;160
48699;154
48701;161
48708;75
48709;162
48710;75
48714;163
48718;164
48724;165
48730;164
48762;166
48768;167
48778;3
48791;168
48813;169
48822;170
48832;171
48843;172
48848;173
48870;174
48887;175
48890;176
48937;177
48950;178
48974;179
48984;110
48989;25
48990;180
48999;138
49006;181
49018;182
49074;183
49089;184
49090;185
49098;186
49114;181
49117;138
49125;187
49143;188
49178;10
49198;189
49227;158
49260;10
49278;190
49282;191
49283;192
49284;193
49285;110
49301;194
49306;195
49307;196
49327;10
49330;180
49332;197
49338;138
49342;194
49357;198
49361;199
49362;200
49385;201
