876;by William Henry Knight
1440;Peter B. Kyne
897;Dante Gabriel Rossetti
1648;Arthur T. Quiller Couch
1871;John Ruskin.
1038;Robert Southey
688;Amelia E. Barr
524;David Magie Cory
1045;Edmund Lester Pearson
2183;Samuel Merwin
1042;Cyrus Thomas
2283;Elizabeth Drew Stoddard
62;George MacDonald
788;Saint Augustine
2430;Percy James Brebner
243;A. B. Paterson
511;Sir Walter Raleigh
1970;Margaret Widdemer
2329;Guy De Maupassant
2221;Mrs. Mary Rowlandson
2264;Alexis de Tocqueville et al.
519;R. S. Ball
702;James Legge
1260;Andrew Jackson
1649;Guy Whitmore Carryl
969;Gustave Droz
264;Lucy Maud Montgomery
673;James Joyce
1641;Arthur Gilman
83;James Fenimore Cooper
347;John Farrar
623;Alfred Joyce Kilmer
917;J. H. Fabre
1948;Bracebridge Hemyng
1430;Theodore A. Dodge
2129;Ezra Pound
2346;Maurice Joblin
1549;W. H. Hudson
1802;Rosanna Eleanor Leprohon
198;Irvin S. Cobb
1399;Ross Kay
1646;Frederick Winslow Taylor
2113;Sallust
485;Louise Muhlbach
1876;Martha Young
2120;Kate Milner Rabb
1572;Paul Severing
706;May Agnes Fleming
30;E.R. Murray and Henrietta Brown Smith
2259;A. M. Barnard
647;Gary Mann
934;J. Cuthbert Hadden
2242;Epiphanius Wilson and J. Walker McSpadden
1500;Colonel George Durston
2405;Montague Rhodes James
280;Christopher Morley
1289;Bjornstjerne Bjornson
66;John P. Marquand
1074;Charles Sturt
139;Joseph McCabe
185;Charles Dodgson, AKA Lewis Carroll
946;Louis Becke
1325;George Crabbe
1427;George Durston
1541;John W. Moore
2111;Henry Inman
745;Guy de Maupassant
1984;Isaac Landman
1557;Frederick Philip Grove
211;Thomas Malory
694;F.W. Moorman
730;Emerson Hough
990;Eugene O'Neill
230;John Galt
960;Madame du Hausset, and of an Unknown English Girl and the Princess Lamballe
2144;Edgar Franklin
2498;Matilda Betham
82;Howard Pyle
1744;Elinor Wylie
1720;Garrett Serviss
1852;Harry Castlemon
2101;Felicia Buttz Clark
2413;Thomas Love Peacock
743;Walter de la Mare
982;Rutherford Platt
144;George Bernard Shaw
937;Emma D. E. N. Southworth
1607;Fannie E. Newberry
1714;Charles M. Skinner
2494;Hendrik Willem van Loon
1226;Miss Mulock--Pseudonym of Maria Dinah Craik
1812;European Union
749;Ralph D. Paine
865;Robert Tressell
