10;The King James Bible
100;The Complete Works of William Shakespeare
10000;The Magna Carta
10001;Apocolocyntosis
10002;The House on the Borderland
10003;My First Years As A Frenchwoman, 1876-1879
10004;The Warriors
10005;A Voyage to the Moon
10006;La Fiammetta
10007;Carmilla
10008;The Mystery
10009;Wild Northern Scenes Sporting Adventures with the Rifle and the Rod
1001;Divine Comedy, Longfellow's Translation, Hell
10010;The Eulogies of Howard
10011;365 Foreign Dishes
10012;The Mountains of California
10013;Punchinello, Vol. 1, No. 9, May 28, 1870
10014;Punchinello, Vol. 1, No. 18, July 30, 1870
10015;Punchinello, Vol. 1, No. 19, August 6, 1870
10016;Punchinello Vol. 1, No. 21, August 20, 1870
10017;Punchinello, Vol. 1, No. 23,  September 3, 1870
10018;Punchinello, Vol. 1, No. 5,  April 30, 1870
10019;Punchinello, Vol. 1, No. 22, August 27, 1870
1002;Unknown
10020;The Strand Magazine: Volume VII, Issue 37. January, 1894. An Illustrated Monthly
10021;Tenterhooks
10023;There's Pippins And Cheese To Come
10024;Beneath the Banner
10025;Gaslight Sonatas
10026;The Mirror of Literature, Amusement, and Instruction, Vol. 10, Issue 268, August 11, 1827
10027;The Triple Alliance
10028;Spalding's Official Baseball Guide - 1913
10029;The Hunt Ball Mystery
1003;Unknown
10030;The Life of Hon. William F. Cody Known as Buffalo Bill The Famous Hunter, Scout and Guide
10031;Edgar Allan Poe's Complete Poetical Works
10032;Punchinello, Vol. 1, No. 24, September 10, 1870
10033;Punchinello, Vol. 1, No. 25, September 17, 1870
10034;Punchinello, Vol. 1, No. 26, September 24, 1870
10035;Punchinello, Vol. 2, No. 27, October 1, 1870
10036;Punchinello Vol. 2, No. 28, October 8, 1870
10037;A Beautiful Possibility
10038;The Magnetic North
10039;The Works of Aphra Behn, Vol. III
1004;Unknown
10040;Alaska Indian Dictionary Aleutian Indian and English Dictionary: Common Words In The Dialects Of The Aleutian Indian Language: As Spoken By The Oogashik, Egashik, Egegik, Anangashuk And Misremie Tribes Around Sulima River And Neighboring Parts Of The Alaska Peninsula
10041;The Rivet in Grandfather's Neck A Comedy of Limitations
10042;The Child Under Eight
10043;Klondyke Nuggets A Brief Description of the Great Gold Regions in the Northwest
10045;Dave Darrin's Second Year at Annapolis Or, Two Midshipmen as Naval Academy Youngsters
10046;Salute to Adventurers
10047;Punchinello, Vol. 2, No. 29, October 15, 1870
10048;Billie Bradley and Her Inheritance The Queer Homestead at Cherry Corners
10049;Old Lady Mary A Story of the Seen and the Unseen
1005;Hell The Inferno from The Divine Comedy
10050;A Little Pilgrim Stories of the Seen and the Unseen
10051;The Little Pilgrim: Further Experiences. Stories of the Seen and the Unseen.
10052;The Open Door, and the Portrait. Stories of the Seen and the Unseen.
10056;Chinese Literature Comprising The Analects of Confucius, The Sayings of Mencius, The Shi-King, The Travels of Fa-Hien, and The Sorrows of Han
10059;Aunt Jane's Nieces on Vacation
1006;The Divine Comedy of Dante:  Purgatory
10060;Discourses Biological and Geological Essays
10062;The Iron Game A Tale of the War
10063;Happiness and Marriage
10064;Beltane The Smith
10065;The Constitution of the United States A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution
10067;The Mystery Of The Boule Cabinet A Detective Story
10068;The Power and the Glory
10069;Account of the Romansh Language In a Letter to Sir John Pringle, Bart. P. R. S.
1007;The Divine Comedy of Dante:  Paradise
10070;Stories of Great Americans for Little Americans
10071;By-Ways of Bombay
10072;English Housewifery Exemplified In above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery
10073;The Century Vocabulary Builder
10074;The Mirror of Literature, Amusement, and Instruction, Vol. 10, Issue 269, August 18, 1827
10075;A Narrative of the Life and Adventures of Venture, a Native of Africa, But Resident above Sixty Years in the United States of America, Related by Himself
10076;Lister's Great Adventure
10077;The Atlantic Monthly, Volume 10, Number 60, October 1862
10078;Plain Words From America
10079;The Atlantic Monthly, Volume 2, Number 9, July, 1858
1008;Unknown
10080;Mobilizing Woman-Power
10081;The Boy Allies at Jutland
10082;The Hampstead Mystery
10083;The House of the Whispering Pines
10084;Kazan
10086;The Minute Boys of the Mohawk Valley
10087;Old Lady Number 31
10088;Thaumaturgia
10089;Elves and Heroes
10090;Peaceless Europe
10093;Gutta-Percha Willie
10094;A Soldier of Virginia
10095;The Twilight of the Gods, and Other Tales
101;Hacker Crackdown Law and Disorder on the Electronic Frontier
10100;Byron
10104;Punchinello, Vol. 2., No. 32,  November 5, 1870
10108;A Treatise Of Daunses Wherin It Is Shewed, That They Are As It Were Accessories And Dependants (Or Thynges Annexed) To Whoredome, (1581)
10109;The Unspeakable Gentleman
10110;The Postmaster's Daughter
10111;Boys and girls from Thackeray
10114;The Great Events by Famous Historians, Vol. 2
10116;All Saints' Day and Other Sermons
10121;Oriental Literature The Literature of Arabia
10122;Fairies and Fusiliers
10123;Aunt Jane's Nieces
10124;Aunt Jane's Nieces and Uncle John
10126;Home-Life of the Lancashire Factory Folk during the Cotton Famine
10127;Abducted to Oz
1013;The First Men In The Moon
10134;John Wesley, Jr. The Story of an Experiment
10135;The Great English Short-Story Writers, Vol. 1
10136;The Book of Household Management
10138;The Atlantic Monthly, Volume 1, Issue 2, December, 1857
10139;The Faith of the Millions (2nd series)
1014;The Lure of the Dim Trails
10141;A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck
10145;Turkey: A Past and a Future
10146;Reminiscences of Pioneer Days in St. Paul
10147;America's War for Humanity
10148;The Merry Adventures of Robin Hood
10149;Home as Found
1015;The Oregon Trail
10150;Dracula's Guest
10151;The Great Events by Famous Historians, Volume 5
1016;On the Improvement of the Understanding (Treatise on the Emendation of the Intellect)
10164;The Black Creek Stopping-House
10165;Across the Zodiac
10166;What Germany Thinks The War as Germans see it
1019;Poems
102;The Tragedy of Pudd'nhead Wilson
1020;Sword Blades and Poppy Seed
1021;The Congo and Other Poems
1022;Walking
10220;Daddy Takes Us Skating
10221;Purple Springs
10224;Our Little Alaskan Cousin
1023;Bleak House
